measure,location,sex,year,val,upper,lower
incidence_per_1000_uninfected,ZMB,SEX_BTSX,2022,2.0,2.5,1.6
incidence_per_1000_uninfected,GIN,SEX_FMLE,2001,1.4,1.7,1.2
incidence_per_1000_uninfected,CPV,SEX_FMLE,2005,0.39,0.45,0.33
incidence_per_1000_uninfected,COG,SEX_MLE,2021,1.2,1.8,0.72
incidence_per_1000_uninfected,BDI,SEX_FMLE,2019,0.15,0.24,0.1
incidence_per_1000_uninfected,MRT,SEX_BTSX,2002,0.49,0.58,0.42
incidence_per_1000_uninfected,TZA,SEX_FMLE,1990,6.6,7.5,5.8
incidence_per_1000_uninfected,TGO,SEX_BTSX,1992,2.3,2.9,1.7
incidence_per_1000_uninfected,MLI,SEX_MLE,1995,1.3,1.6,1.0
incidence_per_1000_uninfected,NAM,SEX_FMLE,1995,15.3,17.2,13.8
incidence_per_1000_uninfected,MRT,SEX_FMLE,1996,0.59,0.72,0.45
incidence_per_1000_uninfected,ERI,SEX_FMLE,2024,0.13,0.21,0.1
incidence_per_1000_uninfected,ETH,SEX_MLE,2008,0.35,0.77,0.19
incidence_per_1000_uninfected,ETH,SEX_BTSX,2012,0.27,0.53,0.15
incidence_per_1000_uninfected,MLI,SEX_FMLE,2010,0.59,0.81,0.48
incidence_per_1000_uninfected,SLE,SEX_FMLE,2011,0.98,1.2,0.81
incidence_per_1000_uninfected,ERI,SEX_BTSX,1997,1.6,2.0,1.2
incidence_per_1000_uninfected,MWI,SEX_BTSX,2006,5.7,6.5,5.3
incidence_per_1000_uninfected,LBR,SEX_FMLE,2021,,,
incidence_per_1000_uninfected,BDI,SEX_FMLE,2003,0.99,1.2,0.78
incidence_per_1000_uninfected,BWA,SEX_MLE,2012,5.8,6.5,5.1
incidence_per_1000_uninfected,TZA,SEX_BTSX,2023,0.83,1.1,0.64
incidence_per_1000_uninfected,SSD,SEX_MLE,2009,1.1,1.5,0.88
incidence_per_1000_uninfected,SYC,SEX_MLE,2022,,,
incidence_per_1000_uninfected,DZA,SEX_BTSX,2004,0.1,0.1,0.1
incidence_per_1000_uninfected,MUS,SEX_MLE,1991,,,
incidence_per_1000_uninfected,NGA,SEX_BTSX,2012,0.76,0.93,0.67
incidence_per_1000_uninfected,TZA,SEX_MLE,1996,3.8,4.6,3.5
incidence_per_1000_uninfected,CIV,SEX_MLE,2002,2.6,3.1,2.2
incidence_per_1000_uninfected,NGA,SEX_FMLE,2016,0.62,0.79,0.52
incidence_per_1000_uninfected,CAF,SEX_MLE,2022,0.62,1.1,0.33
incidence_per_1000_uninfected,GMB,SEX_MLE,2015,0.83,1.2,0.56
incidence_per_1000_uninfected,KEN,SEX_BTSX,1997,6.4,9.9,4.1
incidence_per_1000_uninfected,MRT,SEX_MLE,2012,0.1,0.12,0.1
incidence_per_1000_uninfected,SLE,SEX_MLE,2018,0.53,0.7,0.39
incidence_per_1000_uninfected,TCD,SEX_MLE,2011,0.59,0.75,0.44
incidence_per_1000_uninfected,RWA,SEX_MLE,1990,3.6,5.1,2.5
incidence_per_1000_uninfected,ZMB,SEX_FMLE,2018,5.4,6.2,4.8
incidence_per_1000_uninfected,KEN,SEX_MLE,2017,0.46,0.74,0.3
incidence_per_1000_uninfected,GHA,SEX_BTSX,2019,0.66,0.88,0.48
incidence_per_1000_uninfected,SLE,SEX_FMLE,1997,1.5,1.9,1.3
incidence_per_1000_uninfected,CAF,SEX_BTSX,1999,4.8,5.7,3.9
incidence_per_1000_uninfected,MLI,SEX_BTSX,2020,0.26,0.37,0.19
incidence_per_1000_uninfected,TCD,SEX_FMLE,2007,0.98,1.2,0.77
incidence_per_1000_uninfected,SLE,SEX_MLE,2024,0.23,0.42,0.14
incidence_per_1000_uninfected,LBR,SEX_MLE,2015,,,
incidence_per_1000_uninfected,SWZ,SEX_BTSX,1990,3.4,4.3,2.9
incidence_per_1000_uninfected,MLI,SEX_FMLE,2016,0.41,0.56,0.32
incidence_per_1000_uninfected,ZAF,SEX_FMLE,2019,5.2,5.8,4.6
incidence_per_1000_uninfected,SYC,SEX_FMLE,2005,,,
incidence_per_1000_uninfected,CAF,SEX_BTSX,2010,2.1,2.7,1.7
incidence_per_1000_uninfected,TCD,SEX_BTSX,2020,0.27,0.39,0.17
incidence_per_1000_uninfected,CMR,SEX_FMLE,1994,4.4,5.1,3.6
incidence_per_1000_uninfected,NER,SEX_MLE,1995,0.72,0.88,0.58
incidence_per_1000_uninfected,ZWE,SEX_BTSX,2013,4.2,5.2,3.7
incidence_per_1000_uninfected,CMR,SEX_BTSX,2010,1.8,2.2,1.6
incidence_per_1000_uninfected,MLI,SEX_BTSX,2007,0.67,0.88,0.57
incidence_per_1000_uninfected,COM,SEX_MLE,2004,0.1,0.1,0.1
incidence_per_1000_uninfected,TZA,SEX_BTSX,2017,1.9,2.3,1.7
incidence_per_1000_uninfected,CIV,SEX_MLE,1998,4.0,4.8,3.3
