country,metric,year,"98-98-99 treatment, 2024 prevention",95-95-95 treatment and prevention reaches 2030 target,"95-95-95 treatment, 2024 level of prevention",2024 level all HIV services,Historical trend,"2024 level treatment, reduced prevention"
Gabon,aids_deaths,2027,1116.3302752293578,972.3591087811271,1346.684141546527,1546.0288335517694,1548.2437745740497,
Gabon,aids_deaths,2028,864.9344692005242,750.8650065530799,1258.0865006553079,1559.318479685452,1557.1035386631715,
Gabon,aids_deaths,2029,653.4076015727392,582.5294888597641,1201.605504587156,1563.7483617300131,1554.8885976408912,
Gabon,aids_deaths,2030,531.5858453473132,520.5111402359108,1216.002621231979,1561.5334207077326,1546.0288335517694,
Gambia,new_infections,2020,1547.5472,,,,,
Gambia,new_infections,2021,1404.12155,,,,,
Gambia,new_infections,2022,1299.04735,,,,,
Gambia,new_infections,2023,1237.67763,,,,,
Gambia,new_infections,2024,1123.62884,,,,,
Gambia,new_infections,2025,1084.2532894736842,1084.2532894736842,1084.2532894736842,1084.2532894736842,1084.2532894736842,1084.2532894736842
Gambia,new_infections,2026,1001.0625,805.1019736842105,943.7532894736842,1067.6151315789473,1097.1940789473683,
Gambia,new_infections,2027,851.3190789473684,572.1677631578947,743.171052631579,1051.9013157894735,1099.0427631578948,
Gambia,new_infections,2028,692.3322368421052,412.2565789473684,590.6546052631579,1036.1875,1100.891447368421,
Gambia,new_infections,2029,524.1019736842105,268.0592105263158,431.66776315789474,1020.4736842105262,1103.6644736842104,
Gambia,new_infections,2030,257.89144736842104,202.43092105263156,344.77960526315786,1005.6842105263157,1092.5723684210525,
Gambia,aids_deaths,2020,1419.04431,,,,,
Gambia,aids_deaths,2021,1425.37909,,,,,
Gambia,aids_deaths,2022,1354.05212,,,,,
Gambia,aids_deaths,2023,1265.24048,,,,,
Gambia,aids_deaths,2024,1191.92987,,,,,
Gambia,aids_deaths,2025,1168.7414634146342,1168.7414634146342,1168.7414634146342,1168.7414634146342,1168.7414634146342,1168.7414634146342
Gambia,aids_deaths,2026,962.9034146341463,830.3297560975609,839.6331707317073,1189.6741463414633,1190.8370731707316,
Gambia,aids_deaths,2027,701.2448780487805,530.2946341463414,544.249756097561,1207.1180487804877,1207.1180487804877,
Gambia,aids_deaths,2028,500.0585365853658,382.60292682926826,394.2321951219512,1211.769756097561,1211.769756097561,
Gambia,aids_deaths,2029,357.01853658536584,287.2429268292683,296.5463414634146,1208.280975609756,1208.280975609756,
