Country,1990,1990_lower, 1990_upper, 1990_Footnote, 1991,1991_lower, 1991_upper, 1991_Footnote, 1992,1992_lower, 1992_upper, 1992_Footnote, 1993,1993_lower, 1993_upper, 1993_Footnote, 1994,1994_lower, 1994_upper, 1994_Footnote, 1995,1995_lower, 1995_upper, 1995_Footnote, 1996,1996_lower, 1996_upper, 1996_Footnote, 1997,1997_lower, 1997_upper, 1997_Footnote, 1998,1998_lower, 1998_upper, 1998_Footnote, 1999,1999_lower, 1999_upper, 1999_Footnote, 2000,2000_lower, 2000_upper, 2000_Footnote, 2001,2001_lower, 2001_upper, 2001_Footnote, 2002,2002_lower, 2002_upper, 2002_Footnote, 2003,2003_lower, 2003_upper, 2003_Footnote, 2004,2004_lower, 2004_upper, 2004_Footnote, 2005,2005_lower, 2005_upper, 2005_Footnote, 2006,2006_lower, 2006_upper, 2006_Footnote, 2007,2007_lower, 2007_upper, 2007_Footnote, 2008,2008_lower, 2008_upper, 2008_Footnote, 2009,2009_lower, 2009_upper, 2009_Footnote, 2010,2010_lower, 2010_upper, 2010_Footnote, 2011,2011_lower, 2011_upper, 2011_Footnote, 2012,2012_lower, 2012_upper, 2012_Footnote, 2013,2013_lower, 2013_upper, 2013_Footnote, 2014,2014_lower, 2014_upper, 2014_Footnote, 2015,2015_lower, 2015_upper, 2015_Footnote, 2016,2016_lower, 2016_upper, 2016_Footnote, 2017,2017_lower, 2017_upper, 2017_Footnote, 2018,2018_lower, 2018_upper, 2018_Footnote, 2019,2019_lower, 2019_upper, 2019_Footnote, 2020,2020_lower, 2020_upper, 2020_Footnote, 2021,2021_lower, 2021_upper, 2021_Footnote, 2022,2022_lower, 2022_upper, 2022_Footnote, 2023,2023_lower, 2023_upper, 2023_Footnote, 2024,2024_lower, 2024_upper, 2024_Footnote
Slovakia,<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<100 ,<100 , <200,"Children estimates were not available at the time of publication.",<100 ,<100 , <200,"Children estimates were not available at the time of publication.",<200 ,<100 , <200,"Children estimates were not available at the time of publication.",<200 ,<100 , <200,"Children estimates were not available at the time of publication.",<200 ,<200 , <200,"Children estimates were not available at the time of publication.",<200 ,<200 , <200,"Children estimates were not available at the time of publication.",<200 ,<200 , <500,"Children estimates were not available at the time of publication.",<200 ,<200 , <500,"Children estimates were not available at the time of publication.",<500 ,<200 , <500,"Children estimates were not available at the time of publication.",<500 ,<200 , <500,"Children estimates were not available at the time of publication.",<500 ,<500 , <500,"Children estimates were not available at the time of publication.",<500 ,<500 , <500,"Children estimates were not available at the time of publication.",<500 ,<500 , <500,"Children estimates were not available at the time of publication.",<500 ,<500 , <500,"Children estimates were not available at the time of publication.",<500 ,<500 , <500,"Children estimates were not available at the time of publication.",<500 ,<500 , 520,"Children estimates were not available at the time of publication.",<500 ,<500 , 590,"Children estimates were not available at the time of publication.",550 ,<500 , 670,"Children estimates were not available at the time of publication.",620 ,<500 , 750,"Children estimates were not available at the time of publication.",690 ,550 , 820,"Children estimates were not available at the time of publication.",780 ,610 , 920,"Children estimates were not available at the time of publication.",860 ,680 , 1000,"Children estimates were not available at the time of publication.",950 ,750 , 1100,"Children estimates were not available at the time of publication.",1000 ,820 , 1200,"Children estimates were not available at the time of publication.",1100 ,900 , 1300,"Children estimates were not available at the time of publication.",1300 ,1100 , 1500,"Children estimates were not available at the time of publication.",1400 ,1200 , 1600,"Children estimates were not available at the time of publication.",1500 ,1200 , 1800,"Children estimates were not available at the time of publication."
Slovenia,<100 ,<100 , <200,"Children estimates were not available at the time of publication.",<100 ,<100 , <200,"Children estimates were not available at the time of publication.",<100 ,<100 , <200,"Children estimates were not available at the time of publication.",<100 ,<100 , <200,"Children estimates were not available at the time of publication.",<100 ,<100 , <200,"Children estimates were not available at the time of publication.",<200 ,<100 , <200,"Children estimates were not available at the time of publication.",<200 ,<100 , <200,"Children estimates were not available at the time of publication.",<200 ,<100 , <200,"Children estimates were not available at the time of publication.",<200 ,<100 , <200,"Children estimates were not available at the time of publication.",<200 ,<100 , <200,"Children estimates were not available at the time of publication.",<200 ,<200 , <200,"Children estimates were not available at the time of publication.",<200 ,<200 , <500,"Children estimates were not available at the time of publication.",<200 ,<200 , <500,"Children estimates were not available at the time of publication.",<200 ,<200 , <500,"Children estimates were not available at the time of publication.",<200 ,<200 , <500,"Children estimates were not available at the time of publication.",<500 ,<200 , <500,"Children estimates were not available at the time of publication.",<500 ,<200 , <500,"Children estimates were not available at the time of publication.",<500 ,<500 , <500,"Children estimates were not available at the time of publication.",<500 ,<500 , <500,"Children estimates were not available at the time of publication.",<500 ,<500 , <500,"Children estimates were not available at the time of publication.",<500 ,<500 , <500,"Children estimates were not available at the time of publication.",<500 ,<500 , 510,"Children estimates were not available at the time of publication.",<500 ,<500 , 550,"Children estimates were not available at the time of publication.",<500 ,<500 , 600,"Children estimates were not available at the time of publication.",530 ,<500 , 640,"Children estimates were not available at the time of publication.",560 ,<500 , 680,"Children estimates were not available at the time of publication.",600 ,<500 , 720,"Children estimates were not available at the time of publication.",640 ,<500 , 770,"Children estimates were not available at the time of publication.",680 ,520 , 810,"Children estimates were not available at the time of publication.",710 ,550 , 850,"Children estimates were not available at the time of publication.",740 ,570 , 880,"Children estimates were not available at the time of publication.",770 ,590 , 920,"Children estimates were not available at the time of publication.",800 ,620 , 960,"Children estimates were not available at the time of publication.",830 ,640 , 990,"Children estimates were not available at the time of publication.",850 ,660 , 1000,"Children estimates were not available at the time of publication."
Solomon Islands,... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication."
Somalia,3500 ,1700 , 6500,,3700 ,1900 , 6800,,4000 ,2100 , 7100,,4500 ,2500 , 7800,,4800 ,2800 , 7900,,5100 ,3000 , 8000,,5300 ,3300 , 8200,,5400 ,3500 , 8200,,5500 ,3600 , 8200,,5600 ,3800 , 8200,,5600 ,3900 , 8000,,5500 ,4000 , 7800,,5500 ,4100 , 7500,,5400 ,4100 , 7300,,5200 ,4000 , 7000,,5100 ,4000 , 6600,,4900 ,3900 , 6300,,4700 ,3800 , 6000,,4600 ,3700 , 5700,,4400 ,3700 , 5400,,4300 ,3600 , 5200,,4000 ,3400 , 4800,,3900 ,3300 , 4600,,3800 ,3300 , 4400,,3700 ,3200 , 4300,,3600 ,3200 , 4200,,3600 ,3100 , 4100,,3500 ,3100 , 4000,,3500 ,3000 , 3900,,3400 ,3000 , 3900,,3400 ,3000 , 3800,,3400 ,2900 , 3800,,3300 ,2900 , 3700,,3300 ,2900 , 3700,,3300 ,2900 , 3700,
South Africa,130 000 ,120 000 , 160 000,,200 000 ,180 000 , 240 000,,300 000 ,260 000 , 350 000,,420 000 ,370 000 , 480 000,,550 000 ,490 000 , 650 000,,700 000 ,620 000 , 810 000,,850 000 ,760 000 , 980 000,,990 000 ,890 000 , 1 100 000,,1 100 000 ,1 000 000 , 1 300 000,,1 200 000 ,1 100 000 , 1 400 000,,1 300 000 ,1 200 000 , 1 500 000,,1 400 000 ,1 300 000 , 1 600 000,,1 500 000 ,1 300 000 , 1 700 000,,1 500 000 ,1 400 000 , 1 700 000,,1 600 000 ,1 400 000 , 1 800 000,,1 600 000 ,1 500 000 , 1 800 000,,1 700 000 ,1 500 000 , 1 900 000,,1 700 000 ,1 600 000 , 1 900 000,,1 800 000 ,1 600 000 , 2 000 000,,1 800 000 ,1 700 000 , 2 000 000,,1 900 000 ,1 700 000 , 2 100 000,,2 000 000 ,1 800 000 , 2 200 000,,2 000 000 ,1 900 000 , 2 300 000,,2 100 000 ,1 900 000 , 2 300 000,,2 200 000 ,2 000 000 , 2 400 000,,2 200 000 ,2 000 000 , 2 500 000,,2 300 000 ,2 100 000 , 2 500 000,,2 300 000 ,2 100 000 , 2 600 000,,2 400 000 ,2 200 000 , 2 600 000,,2 400 000 ,2 200 000 , 2 700 000,,2 500 000 ,2 300 000 , 2 700 000,,2 500 000 ,2 300 000 , 2 800 000,,2 500 000 ,2 300 000 , 2 800 000,,2 600 000 ,2 300 000 , 2 800 000,,2 600 000 ,2 300 000 , 2 800 000,
South Sudan,11 000 ,4500 , 20 000,,13 000 ,6100 , 23 000,,16 000 ,7500 , 25 000,,19 000 ,9300 , 27 000,,22 000 ,12 000 , 32 000,,25 000 ,14 000 , 36 000,,28 000 ,16 000 , 39 000,,31 000 ,18 000 , 42 000,,33 000 ,20 000 , 46 000,,35 000 ,22 000 , 48 000,,38 000 ,24 000 , 52 000,,40 000 ,26 000 , 54 000,,42 000 ,28 000 , 56 000,,44 000 ,31 000 , 58 000,,46 000 ,33 000 , 61 000,,48 000 ,35 000 , 64 000,,50 000 ,37 000 , 66 000,,52 000 ,39 000 , 69 000,,53 000 ,40 000 , 70 000,,55 000 ,42 000 , 72 000,,57 000 ,45 000 , 75 000,,59 000 ,46 000 , 76 000,,60 000 ,48 000 , 77 000,,61 000 ,49 000 , 77 000,,57 000 ,45 000 , 72 000,,56 000 ,45 000 , 69 000,,51 000 ,42 000 , 63 000,,46 000 ,38 000 , 57 000,,47 000 ,39 000 , 58 000,,48 000 ,40 000 , 58 000,,48 000 ,41 000 , 58 000,,47 000 ,40 000 , 57 000,,48 000 ,40 000 , 58 000,,50 000 ,42 000 , 60 000,,50 000 ,42 000 , 60 000,
Spain,58 000 ,46 000 , 68 000,,67 000 ,53 000 , 77 000,,74 000 ,59 000 , 85 000,,79 000 ,64 000 , 90 000,,82 000 ,67 000 , 93 000,,84 000 ,68 000 , 94 000,,85 000 ,69 000 , 95 000,,86 000 ,71 000 , 95 000,,87 000 ,73 000 , 97 000,,89 000 ,75 000 , 98 000,,90 000 ,77 000 , 99 000,,91 000 ,78 000 , 100 000,,94 000 ,81 000 , 100 000,,96 000 ,84 000 , 110 000,,99 000 ,87 000 , 110 000,,100 000 ,89 000 , 110 000,,100 000 ,91 000 , 110 000,,110 000 ,93 000 , 120 000,,110 000 ,95 000 , 120 000,,110 000 ,96 000 , 120 000,,110 000 ,97 000 , 120 000,,110 000 ,99 000 , 130 000,,110 000 ,99 000 , 130 000,,110 000 ,99 000 , 130 000,,120 000 ,99 000 , 130 000,,120 000 ,100 000 , 130 000,,120 000 ,100 000 , 130 000,,120 000 ,100 000 , 140 000,,120 000 ,100 000 , 140 000,,120 000 ,100 000 , 140 000,,130 000 ,110 000 , 140 000,,130 000 ,110 000 , 150 000,,130 000 ,110 000 , 150 000,,130 000 ,110 000 , 150 000,,130 000 ,110 000 , 150 000,
Sri Lanka,<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<200 ,<200 , <200,"Children estimates were not available at the time of publication.",<500 ,<500 , <500,"Children estimates were not available at the time of publication.",<500 ,<500 , <500,"Children estimates were not available at the time of publication.",560 ,<500 , 630,"Children estimates were not available at the time of publication.",780 ,660 , 900,"Children estimates were not available at the time of publication.",1100 ,890 , 1200,"Children estimates were not available at the time of publication.",1300 ,1100 , 1500,"Children estimates were not available at the time of publication.",1600 ,1400 , 1900,"Children estimates were not available at the time of publication.",1900 ,1600 , 2200,"Children estimates were not available at the time of publication.",2200 ,1900 , 2500,"Children estimates were not available at the time of publication.",2400 ,2000 , 2700,"Children estimates were not available at the time of publication.",2600 ,2200 , 2900,"Children estimates were not available at the time of publication.",2700 ,2300 , 3100,"Children estimates were not available at the time of publication.",2800 ,2400 , 3200,"Children estimates were not available at the time of publication.",2800 ,2400 , 3200,"Children estimates were not available at the time of publication.",2800 ,2400 , 3200,"Children estimates were not available at the time of publication.",2800 ,2400 , 3200,"Children estimates were not available at the time of publication.",2700 ,2400 , 3100,"Children estimates were not available at the time of publication.",2700 ,2300 , 3000,"Children estimates were not available at the time of publication.",2600 ,2200 , 2900,"Children estimates were not available at the time of publication.",2500 ,2200 , 2900,"Children estimates were not available at the time of publication.",2500 ,2200 , 2900,"Children estimates were not available at the time of publication.",2500 ,2200 , 2900,"Children estimates were not available at the time of publication.",2600 ,2300 , 3000,"Children estimates were not available at the time of publication.",2700 ,2400 , 3100,"Children estimates were not available at the time of publication.",2800 ,2500 , 3200,"Children estimates were not available at the time of publication.",3000 ,2700 , 3400,"Children estimates were not available at the time of publication.",3200 ,2800 , 3600,"Children estimates were not available at the time of publication.",3400 ,3000 , 3900,"Children estimates were not available at the time of publication.",3700 ,3200 , 4200,"Children estimates were not available at the time of publication.",4000 ,3400 , 4500,"Children estimates were not available at the time of publication.",4200 ,3700 , 4900,"Children estimates were not available at the time of publication.",4500 ,3900 , 5200,"Children estimates were not available at the time of publication."
Sudan,2600 ,1600 , 4800,,3100 ,1900 , 5500,,3600 ,2300 , 6300,,4200 ,2800 , 6900,,4800 ,3200 , 7600,,5300 ,3600 , 8100,,5700 ,4100 , 8700,,6200 ,4500 , 9100,,6700 ,4900 , 9700,,7200 ,5300 , 10 000,,7700 ,5800 , 11 000,,8100 ,6100 , 11 000,,8500 ,6400 , 12 000,,8900 ,6800 , 12 000,,9200 ,7100 , 12 000,,9500 ,7400 , 13 000,,9900 ,7600 , 13 000,,10 000 ,7900 , 14 000,,11 000 ,8200 , 14 000,,11 000 ,8700 , 14 000,,12 000 ,9000 , 15 000,,12 000 ,9300 , 15 000,,12 000 ,9700 , 16 000,,13 000 ,10 000 , 17 000,,14 000 ,11 000 , 18 000,,14 000 ,11 000 , 19 000,,15 000 ,12 000 , 20 000,,16 000 ,13 000 , 22 000,,17 000 ,13 000 , 23 000,,18 000 ,14 000 , 25 000,,20 000 ,15 000 , 28 000,,21 000 ,16 000 , 31 000,,23 000 ,17 000 , 34 000,,25 000 ,19 000 , 37 000,,27 000 ,20 000 , 41 000,
Suriname,<500 ,<200 , <500,,<500 ,<500 , <500,,<500 ,<500 , 630,,580 ,<500 , 770,,720 ,540 , 970,,910 ,700 , 1200,,1100 ,890 , 1400,,1300 ,1100 , 1700,,1600 ,1300 , 1900,,1800 ,1500 , 2200,,2100 ,1800 , 2400,,2300 ,2000 , 2600,,2500 ,2200 , 2800,,2700 ,2300 , 3000,,2800 ,2400 , 3200,,2900 ,2600 , 3300,,3000 ,2700 , 3400,,3100 ,2800 , 3500,,3200 ,2800 , 3600,,3300 ,2900 , 3700,,3400 ,3000 , 3700,,3500 ,3100 , 3900,,3500 ,3100 , 4000,,3600 ,3200 , 4000,,3700 ,3200 , 4100,,3700 ,3300 , 4200,,3800 ,3300 , 4200,,3900 ,3400 , 4300,,4000 ,3500 , 4400,,4100 ,3500 , 4500,,4200 ,3600 , 4700,,4300 ,3700 , 4800,,4300 ,3800 , 4900,,4400 ,3800 , 5000,,4500 ,3900 , 5100,
Sweden,960 ,780 , 1100,"Numbers are estimated by UNAIDS using the Spectrum model, based on the official national estimates. Any differences are within uncertainty margins of both sets of estimates, reflecting methodologies and assumptions. (https://pubmed.ncbi.nlm.nih.gov/39421951/).",1100 ,860 , 1200,"Numbers are estimated by UNAIDS using the Spectrum model, based on the official national estimates. Any differences are within uncertainty margins of both sets of estimates, reflecting methodologies and assumptions. (https://pubmed.ncbi.nlm.nih.gov/39421951/).",1100 ,920 , 1300,"Numbers are estimated by UNAIDS using the Spectrum model, based on the official national estimates. Any differences are within uncertainty margins of both sets of estimates, reflecting methodologies and assumptions. (https://pubmed.ncbi.nlm.nih.gov/39421951/).",1200 ,990 , 1400,"Numbers are estimated by UNAIDS using the Spectrum model, based on the official national estimates. Any differences are within uncertainty margins of both sets of estimates, reflecting methodologies and assumptions. (https://pubmed.ncbi.nlm.nih.gov/39421951/).",1300 ,1000 , 1400,"Numbers are estimated by UNAIDS using the Spectrum model, based on the official national estimates. Any differences are within uncertainty margins of both sets of estimates, reflecting methodologies and assumptions. (https://pubmed.ncbi.nlm.nih.gov/39421951/).",1300 ,1100 , 1500,"Numbers are estimated by UNAIDS using the Spectrum model, based on the official national estimates. Any differences are within uncertainty margins of both sets of estimates, reflecting methodologies and assumptions. (https://pubmed.ncbi.nlm.nih.gov/39421951/).",1400 ,1100 , 1600,"Numbers are estimated by UNAIDS using the Spectrum model, based on the official national estimates. Any differences are within uncertainty margins of both sets of estimates, reflecting methodologies and assumptions. (https://pubmed.ncbi.nlm.nih.gov/39421951/).",1500 ,1200 , 1700,"Numbers are estimated by UNAIDS using the Spectrum model, based on the official national estimates. Any differences are within uncertainty margins of both sets of estimates, reflecting methodologies and assumptions. (https://pubmed.ncbi.nlm.nih.gov/39421951/).",1600 ,1300 , 1800,"Numbers are estimated by UNAIDS using the Spectrum model, based on the official national estimates. Any differences are within uncertainty margins of both sets of estimates, reflecting methodologies and assumptions. (https://pubmed.ncbi.nlm.nih.gov/39421951/).",1800 ,1400 , 2000,"Numbers are estimated by UNAIDS using the Spectrum model, based on the official national estimates. Any differences are within uncertainty margins of both sets of estimates, reflecting methodologies and assumptions. (https://pubmed.ncbi.nlm.nih.gov/39421951/).",1900 ,1600 , 2100,"Numbers are estimated by UNAIDS using the Spectrum model, based on the official national estimates. Any differences are within uncertainty margins of both sets of estimates, reflecting methodologies and assumptions. (https://pubmed.ncbi.nlm.nih.gov/39421951/).",2100 ,1700 , 2300,"Numbers are estimated by UNAIDS using the Spectrum model, based on the official national estimates. Any differences are within uncertainty margins of both sets of estimates, reflecting methodologies and assumptions. (https://pubmed.ncbi.nlm.nih.gov/39421951/).",2200 ,1800 , 2500,"Numbers are estimated by UNAIDS using the Spectrum model, based on the official national estimates. Any differences are within uncertainty margins of both sets of estimates, reflecting methodologies and assumptions. (https://pubmed.ncbi.nlm.nih.gov/39421951/).",2400 ,1900 , 2700,"Numbers are estimated by UNAIDS using the Spectrum model, based on the official national estimates. Any differences are within uncertainty margins of both sets of estimates, reflecting methodologies and assumptions. (https://pubmed.ncbi.nlm.nih.gov/39421951/).",2500 ,2100 , 2900,"Numbers are estimated by UNAIDS using the Spectrum model, based on the official national estimates. Any differences are within uncertainty margins of both sets of estimates, reflecting methodologies and assumptions. (https://pubmed.ncbi.nlm.nih.gov/39421951/).",2700 ,2200 , 3000,"Numbers are estimated by UNAIDS using the Spectrum model, based on the official national estimates. Any differences are within uncertainty margins of both sets of estimates, reflecting methodologies and assumptions. (https://pubmed.ncbi.nlm.nih.gov/39421951/).",2900 ,2300 , 3200,"Numbers are estimated by UNAIDS using the Spectrum model, based on the official national estimates. Any differences are within uncertainty margins of both sets of estimates, reflecting methodologies and assumptions. (https://pubmed.ncbi.nlm.nih.gov/39421951/).",3000 ,2400 , 3400,"Numbers are estimated by UNAIDS using the Spectrum model, based on the official national estimates. Any differences are within uncertainty margins of both sets of estimates, reflecting methodologies and assumptions. (https://pubmed.ncbi.nlm.nih.gov/39421951/).",3200 ,2600 , 3600,"Numbers are estimated by UNAIDS using the Spectrum model, based on the official national estimates. Any differences are within uncertainty margins of both sets of estimates, reflecting methodologies and assumptions. (https://pubmed.ncbi.nlm.nih.gov/39421951/).",3300 ,2700 , 3800,"Numbers are estimated by UNAIDS using the Spectrum model, based on the official national estimates. Any differences are within uncertainty margins of both sets of estimates, reflecting methodologies and assumptions. (https://pubmed.ncbi.nlm.nih.gov/39421951/).",3500 ,2800 , 4000,"Numbers are estimated by UNAIDS using the Spectrum model, based on the official national estimates. Any differences are within uncertainty margins of both sets of estimates, reflecting methodologies and assumptions. (https://pubmed.ncbi.nlm.nih.gov/39421951/).",3600 ,3000 , 4100,"Numbers are estimated by UNAIDS using the Spectrum model, based on the official national estimates. Any differences are within uncertainty margins of both sets of estimates, reflecting methodologies and assumptions. (https://pubmed.ncbi.nlm.nih.gov/39421951/).",3800 ,3100 , 4300,"Numbers are estimated by UNAIDS using the Spectrum model, based on the official national estimates. Any differences are within uncertainty margins of both sets of estimates, reflecting methodologies and assumptions. (https://pubmed.ncbi.nlm.nih.gov/39421951/).",3900 ,3200 , 4500,"Numbers are estimated by UNAIDS using the Spectrum model, based on the official national estimates. Any differences are within uncertainty margins of both sets of estimates, reflecting methodologies and assumptions. (https://pubmed.ncbi.nlm.nih.gov/39421951/).",4100 ,3400 , 4600,"Numbers are estimated by UNAIDS using the Spectrum model, based on the official national estimates. Any differences are within uncertainty margins of both sets of estimates, reflecting methodologies and assumptions. (https://pubmed.ncbi.nlm.nih.gov/39421951/).",4200 ,3500 , 4800,"Numbers are estimated by UNAIDS using the Spectrum model, based on the official national estimates. Any differences are within uncertainty margins of both sets of estimates, reflecting methodologies and assumptions. (https://pubmed.ncbi.nlm.nih.gov/39421951/).",4400 ,3600 , 5000,"Numbers are estimated by UNAIDS using the Spectrum model, based on the official national estimates. Any differences are within uncertainty margins of both sets of estimates, reflecting methodologies and assumptions. (https://pubmed.ncbi.nlm.nih.gov/39421951/).",4500 ,3700 , 5200,"Numbers are estimated by UNAIDS using the Spectrum model, based on the official national estimates. Any differences are within uncertainty margins of both sets of estimates, reflecting methodologies and assumptions. (https://pubmed.ncbi.nlm.nih.gov/39421951/).",4700 ,3900 , 5400,"Numbers are estimated by UNAIDS using the Spectrum model, based on the official national estimates. Any differences are within uncertainty margins of both sets of estimates, reflecting methodologies and assumptions. (https://pubmed.ncbi.nlm.nih.gov/39421951/).",4800 ,4000 , 5600,"Numbers are estimated by UNAIDS using the Spectrum model, based on the official national estimates. Any differences are within uncertainty margins of both sets of estimates, reflecting methodologies and assumptions. (https://pubmed.ncbi.nlm.nih.gov/39421951/).",5000 ,4100 , 5700,"Numbers are estimated by UNAIDS using the Spectrum model, based on the official national estimates. Any differences are within uncertainty margins of both sets of estimates, reflecting methodologies and assumptions. (https://pubmed.ncbi.nlm.nih.gov/39421951/).",5100 ,4300 , 5900,"Numbers are estimated by UNAIDS using the Spectrum model, based on the official national estimates. Any differences are within uncertainty margins of both sets of estimates, reflecting methodologies and assumptions. (https://pubmed.ncbi.nlm.nih.gov/39421951/).",5200 ,4400 , 6100,"Numbers are estimated by UNAIDS using the Spectrum model, based on the official national estimates. Any differences are within uncertainty margins of both sets of estimates, reflecting methodologies and assumptions. (https://pubmed.ncbi.nlm.nih.gov/39421951/).",... ,... , ...,"Numbers are estimated by UNAIDS using the Spectrum model, based on the official national estimates. Any differences are within uncertainty margins of both sets of estimates, reflecting methodologies and assumptions. (https://pubmed.ncbi.nlm.nih.gov/39421951/).",... ,... , ...,"Numbers are estimated by UNAIDS using the Spectrum model, based on the official national estimates. Any differences are within uncertainty margins of both sets of estimates, reflecting methodologies and assumptions. (https://pubmed.ncbi.nlm.nih.gov/39421951/)."
Switzerland,4000 ,3300 , 4500,"Children estimates were not available at the time of publication.",4500 ,3700 , 5100,"Children estimates were not available at the time of publication.",4900 ,4100 , 5600,"Children estimates were not available at the time of publication.",5400 ,4400 , 6000,"Children estimates were not available at the time of publication.",5700 ,4700 , 6300,"Children estimates were not available at the time of publication.",5900 ,4900 , 6600,"Children estimates were not available at the time of publication.",6200 ,5200 , 6900,"Children estimates were not available at the time of publication.",6500 ,5400 , 7200,"Children estimates were not available at the time of publication.",6800 ,5700 , 7500,"Children estimates were not available at the time of publication.",7100 ,6000 , 7800,"Children estimates were not available at the time of publication.",7400 ,6200 , 8100,"Children estimates were not available at the time of publication.",7700 ,6600 , 8500,"Children estimates were not available at the time of publication.",8000 ,6800 , 8700,"Children estimates were not available at the time of publication.",8200 ,7000 , 9000,"Children estimates were not available at the time of publication.",8400 ,7200 , 9300,"Children estimates were not available at the time of publication.",8600 ,7400 , 9500,"Children estimates were not available at the time of publication.",8900 ,7500 , 9800,"Children estimates were not available at the time of publication.",9100 ,7700 , 10 000,"Children estimates were not available at the time of publication.",9400 ,8000 , 11 000,"Children estimates were not available at the time of publication.",9700 ,8200 , 11 000,"Children estimates were not available at the time of publication.",10 000 ,8500 , 11 000,"Children estimates were not available at the time of publication.",10 000 ,8700 , 12 000,"Children estimates were not available at the time of publication.",11 000 ,8900 , 12 000,"Children estimates were not available at the time of publication.",11 000 ,9100 , 12 000,"Children estimates were not available at the time of publication.",11 000 ,9300 , 13 000,"Children estimates were not available at the time of publication.",11 000 ,9500 , 13 000,"Children estimates were not available at the time of publication.",12 000 ,9700 , 14 000,"Children estimates were not available at the time of publication.",12 000 ,9900 , 14 000,"Children estimates were not available at the time of publication.",12 000 ,10 000 , 14 000,"Children estimates were not available at the time of publication.",12 000 ,10 000 , 14 000,"Children estimates were not available at the time of publication.",13 000 ,10 000 , 15 000,"Children estimates were not available at the time of publication.",13 000 ,10 000 , 15 000,"Children estimates were not available at the time of publication.",13 000 ,11 000 , 15 000,"Children estimates were not available at the time of publication.",13 000 ,11 000 , 15 000,"Children estimates were not available at the time of publication.",13 000 ,11 000 , 15 000,"Children estimates were not available at the time of publication."
